id,name,type,image_url,synopsis,volume,chapters,mal_id,is_download,status,source_id
1635,shokugeki-no-soma,pdf,https://cdn.myanimelist.net/images/manga/1/115803.jpg?s=81e873b30b25fb95aac05da2f3082bec,Fifteen-year-old Souma Yukihira dreams to one day surpass his father's cooking skills and take over as the chef of their small family diner. However  his aspirations come to a halt when his father ann...,36,325,45757,1,1,3
1636,my-hero-academia,pdf,https://cdn.myanimelist.net/images/manga/1/209370.jpg?s=2ecbe2700c0d80f4ee08692d7efeac4c,null,500,500,1,1,1,3
1637,dr-stone,pdf,https://cdn.myanimelist.net/images/manga/1/197883.jpg?s=b62f5435d61607e61e1aa67db210aa99,When a mysterious light suddenly engulfs Earth  humanity is left petrified  frozen in stone. Thousands of years later  the world is teeming with vegetation  and forests have taken the places of cities...,500,500,103897,1,1,3
1638,black-clover,pdf,https://cdn.myanimelist.net/images/manga/2/166254.jpg?s=fe7cfade4ab7915a02f1ec61732f2b4f,In a world full of magic  Astaâ€”an orphan who is overly loud and energeticâ€”possesses none whatsoever. Despite this  he dreams of becoming the Wizard King  a title bestowed upon the strongest mage in th...,500,500,86337,1,1,3
1639,boku-no-kanojo-sensei,pdf,https://cdn.myanimelist.net/images/manga/2/234962.jpg?s=18b0edea8753e445bdda3044dd562857,null,500,30,119798,1,1,1
1640,les-brigades-immunitaires-black,pdf,https://cdn.myanimelist.net/images/manga/3/200497.jpg?s=03d2b585b930c72a02b99de90b2b1dbb,Inside the human body  there are around thirty-seven billion cells  who diligently carry out their duties every day. New to her job  clumsy but cheerful Sekkekkyuu AE3803 is excited to start deliverin...,6,30,91641,1,1,2
1641,spy-x-family,pdf,https://cdn.myanimelist.net/images/manga/3/219741.jpg,null,500,31,1,1,1,2
1642,wotakoi-lamour-cest-complique-pour-un-otaku,pdf,https://cdn.myanimelist.net/images/anime/1864/93518.jpg,null,500,50,1,1,1,2
1643,edens-zero,pdf,https://cdn.myanimelist.net/images/anime/1011/111811.jpg,null,500,500,1,1,1,2
1644,professeur-layton-et-letrange-enquete,pdf,https://cdn.myanimelist.net/images/anime/3/25873.jpg,null,42,42,1,1,1,1
1645,solo-leveling,pdf,https://cdn.myanimelist.net/images/manga/3/222295.jpg,null,500,500,1,1,1,1
